order_id,customer_id,seller_id,product_id,order_date,status,gmv,discount_amt,delivery_days,return_flag
81,1372,456,203,2023-10-28,Delivered,835.65,204.35,7.0,False
82,3285,229,1012,2023-03-27,Delivered,3408.35,1501.65,9.0,False
83,4400,211,227,2024-04-24,Delivered,17986.91,963.09,12.0,False
84,4155,204,278,2023-10-25,Delivered,45.69,34.31,14.0,False
85,129,88,526,2023-08-28,Delivered,1420.49,729.51,3.0,False
86,2769,107,84,2024-05-09,Delivered,12108.77,4631.23,11.0,False
87,2958,406,1756,2023-01-13,Returned,15041.61,158.39,,True
88,497,341,405,2023-03-18,Delivered,878.22,31.78,6.0,False
89,4323,133,57,2023-01-03,Cancelled,630.96,159.04,,False
90,4010,229,1028,2024-02-27,Delivered,470.82,79.18,1.0,False
91,3704,313,477,2024-03-22,Delivered,311.16,168.84,8.0,False
92,195,334,102,2023-08-21,Delivered,301.4,148.6,8.0,False
93,2784,479,805,2023-02-11,Delivered,649.22,90.78,9.0,False
94,690,255,476,2023-01-08,Delivered,3223.84,546.16,3.0,False
95,1986,477,905,2024-03-29,Delivered,582.66,47.34,12.0,False
96,4483,465,282,2023-05-01,Delivered,14219.96,4660.04,4.0,False
97,518,424,268,2023-06-11,Delivered,9005.68,44.32,4.0,False
98,4376,16,524,2024-01-28,Returned,4295.8,54.2,,True
99,242,92,150,2024-01-08,Delivered,126.29,83.71,5.0,False
100,2238,439,85,2024-11-21,Delivered,2450.15,539.85,8.0,False
101,3219,140,1643,2023-02-20,Delivered,27340.21,989.79,9.0,False
102,3569,468,721,2024-08-03,Cancelled,1859.16,1360.84,,False
103,1340,458,1045,2024-10-07,Returned,9784.01,3265.99,,True
104,3669,378,1957,2023-02-27,Delivered,1687.51,922.49,11.0,False
105,658,482,1238,2024-07-10,Delivered,375.68,4.32,4.0,False
106,512,468,1111,2024-08-14,Delivered,2409.7,1910.3,2.0,False
107,2747,358,205,2023-10-08,Returned,10179.63,8280.37,,True
108,3597,214,834,2024-04-20,Delivered,15966.41,4633.59,2.0,False
109,3270,378,1197,2024-08-01,Delivered,1109.11,700.89,1.0,False
110,3686,217,198,2023-04-07,Delivered,3308.82,921.18,5.0,False
111,329,67,679,2024-04-22,Returned,231.89,8.11,,True
112,2061,361,1812,2023-01-05,Delivered,8028.18,591.82,6.0,False
113,3608,236,1961,2023-06-16,Delivered,6266.53,723.47,11.0,False
114,486,317,279,2023-06-02,Delivered,123540.34,20979.66,6.0,False
115,2194,269,1303,2024-06-28,Delivered,580.95,209.05,10.0,False
116,1431,235,1138,2024-12-26,Delivered,3885.63,1054.37,3.0,False
117,2781,359,1269,2023-08-09,Returned,1053.49,396.51,,True
118,2089,16,968,2023-06-17,Delivered,8250.26,5529.74,14.0,False
119,4968,410,1255,2024-11-12,Delivered,668.1,81.9,9.0,False
120,3727,128,632,2023-12-26,Delivered,281.82,148.18,10.0,False
121,2842,68,1142,2024-02-07,Delivered,492.45,57.55,12.0,False
122,3411,339,492,2024-07-20,Delivered,2025.88,754.12,8.0,False
123,2040,171,830,2024-04-29,Processing,5783.06,466.94,,False
124,2554,459,1994,2023-08-29,Delivered,7453.31,5886.69,1.0,False
125,3368,218,1924,2023-04-17,Delivered,7245.66,1544.34,4.0,False
126,1092,48,504,2023-09-26,Delivered,5367.17,742.83,6.0,False
127,1451,498,816,2024-12-06,Delivered,420.67,189.33,14.0,False
128,4560,215,852,2024-06-24,Delivered,22418.44,2361.56,3.0,False
129,2321,142,1817,2023-02-02,Delivered,33095.73,3584.27,5.0,False
130,1667,139,746,2024-10-30,Delivered,51201.06,9998.94,14.0,False
131,3828,174,595,2023-04-18,Delivered,79029.56,57300.44,5.0,False
132,2724,245,1822,2024-08-04,Delivered,325.98,114.02,11.0,False
133,2452,92,592,2024-10-08,Cancelled,57857.8,4692.2,,False
134,4143,57,1754,2023-09-01,Delivered,330.53,129.47,6.0,False
135,2238,386,153,2024-02-22,Delivered,278.21,21.79,8.0,False
136,4806,306,1315,2024-10-23,Returned,72486.2,27453.8,,True
137,3613,373,1800,2023-09-17,Delivered,114502.27,33337.73,4.0,False
138,4328,452,662,2024-09-25,Returned,650.53,69.47,,True
139,2951,123,1016,2023-05-02,Delivered,5345.93,1084.07,14.0,False
140,2139,189,5,2023-05-03,Delivered,2761.84,78.16,11.0,False
141,4660,91,155,2023-10-12,Delivered,153.93,86.07,11.0,False
142,4569,88,1839,2024-04-21,Delivered,1341.64,158.36,5.0,False
143,4122,47,665,2023-01-27,Processing,1087.1,542.9,,False
144,3920,274,288,2023-09-02,Processing,807.22,102.78,,False
145,2528,106,1311,2023-06-22,Processing,84519.62,37310.38,,False
146,2201,324,1526,2023-03-14,Cancelled,54706.5,1193.5,,False
147,3189,59,852,2024-08-27,Delivered,24632.29,147.71,12.0,False
148,3653,468,55,2024-10-03,Cancelled,3810.03,779.97,,False
149,524,266,634,2023-05-31,Returned,327.05,122.95,,True
150,74,218,1870,2024-11-13,Returned,3521.13,998.87,,True
151,2868,298,159,2023-03-27,Delivered,98.84,61.16,1.0,False
152,1137,373,210,2023-01-03,Delivered,70544.59,3585.41,4.0,False
153,432,96,167,2023-09-18,Delivered,219.54,50.46,8.0,False
154,3405,405,339,2024-07-08,Cancelled,689.02,230.98,,False
155,493,284,1971,2024-10-23,Processing,447.47,282.53,,False
156,2420,73,801,2024-12-19,Delivered,120.03,79.97,6.0,False
157,4953,417,76,2024-01-25,Delivered,4635.85,2874.15,11.0,False
158,1343,17,1542,2023-09-25,Delivered,826.06,633.94,1.0,False
159,114,329,1326,2023-11-20,Delivered,1978.08,61.92,8.0,False
160,3467,35,457,2024-12-23,Delivered,5862.38,3577.62,12.0,False
161,2639,379,725,2024-12-22,Delivered,110.93,39.07,10.0,False
162,3579,110,1452,2023-11-28,Delivered,67.08,42.92,13.0,False
163,1397,304,1839,2024-05-30,Delivered,1169.4,330.6,4.0,False
164,3844,338,59,2024-08-11,Delivered,124448.77,22481.23,14.0,False
165,3195,228,1231,2023-08-02,Cancelled,398.39,161.61,,False
166,4806,112,890,2024-11-17,Delivered,933.29,6.71,10.0,False
167,1884,292,559,2023-11-05,Delivered,2028.25,991.75,1.0,False
168,209,448,1998,2024-03-20,Processing,777.46,92.54,,False
169,3139,218,274,2024-10-09,Delivered,11691.53,3668.47,12.0,False
170,2518,347,31,2024-01-01,Delivered,68873.04,43036.96,8.0,False
171,2676,433,1858,2024-05-12,Delivered,446.3,313.7,2.0,False
172,2384,67,1633,2024-05-27,Delivered,3876.03,323.97,7.0,False
173,4313,12,339,2024-10-14,Delivered,645.4,274.6,13.0,False
174,4969,325,268,2023-11-14,Delivered,5569.62,3480.38,4.0,False
175,2265,329,659,2023-06-11,Delivered,10146.72,2263.28,4.0,False
176,2711,20,964,2024-08-27,Delivered,2980.57,1589.43,14.0,False
177,2644,235,916,2024-11-29,Delivered,303.65,146.35,4.0,False
178,1268,170,996,2023-12-28,Delivered,527.25,342.75,2.0,False
179,2380,215,350,2024-07-18,Delivered,295.44,24.56,8.0,False
180,4029,413,1625,2023-03-26,Delivered,2449.36,890.64,6.0,False
181,4825,385,1583,2024-05-06,Delivered,1089.78,90.22,11.0,False
182,3508,168,1860,2024-12-03,Delivered,15917.99,1362.01,3.0,False
183,4791,487,429,2023-09-18,Delivered,600.83,329.17,10.0,False
184,4236,174,1263,2023-08-18,Delivered,888.4,21.6,5.0,False
185,735,176,78,2023-09-26,Delivered,107480.82,26359.18,10.0,False
186,3399,289,1464,2023-05-27,Delivered,857.1,32.9,12.0,False
187,567,363,656,2024-12-12,Delivered,3249.02,870.98,4.0,False
188,2029,171,1384,2024-01-20,Cancelled,2212.94,1627.06,,False
189,1373,12,330,2023-11-25,Delivered,3211.18,1228.82,5.0,False
190,2016,105,122,2024-02-12,Delivered,5952.06,1777.94,5.0,False
191,4082,270,1813,2024-09-05,Delivered,146.98,33.02,8.0,False
192,4942,458,387,2024-11-14,Delivered,319.21,80.79,14.0,False
193,2350,53,387,2023-02-12,Delivered,281.38,118.62,12.0,False
194,396,126,1955,2024-01-29,Delivered,586.57,223.43,4.0,False
195,4134,418,1697,2023-03-04,Delivered,4488.33,2231.67,6.0,False
196,3522,28,598,2023-12-23,Delivered,3781.75,548.25,11.0,False
197,715,114,371,2023-07-23,Delivered,486.75,213.25,8.0,False
198,548,17,1865,2023-06-12,Delivered,563.25,186.75,10.0,False
199,4086,482,493,2024-02-28,Delivered,63.97,46.03,8.0,False
200,2803,392,1604,2024-03-02,Delivered,12051.5,3178.5,8.0,False
201,477,107,774,2023-12-05,Delivered,3482.93,567.07,5.0,False
202,2049,104,1843,2023-12-05,Delivered,8501.52,6498.48,6.0,False
203,1145,196,1581,2023-02-21,Delivered,29259.45,14580.55,10.0,False
204,404,276,419,2023-08-29,Delivered,3633.89,1266.11,10.0,False
205,1545,335,1499,2023-09-13,Delivered,556.08,283.92,2.0,False
206,2551,499,422,2023-03-13,Delivered,409.47,80.53,11.0,False
207,3806,12,1066,2023-01-30,Delivered,16762.49,2767.51,3.0,False
208,117,198,772,2024-03-08,Delivered,2857.17,362.83,8.0,False
209,2433,157,577,2023-05-07,Delivered,5451.58,2598.42,14.0,False
210,2341,288,1039,2024-03-06,Delivered,3745.02,1024.98,4.0,False
211,4743,233,1505,2024-04-09,Delivered,421.85,338.15,4.0,False
212,4644,168,112,2024-03-23,Delivered,2617.29,222.71,14.0,False
213,2960,260,979,2024-10-30,Delivered,2194.62,1545.38,10.0,False
214,3066,280,423,2023-06-14,Delivered,12588.33,3231.67,3.0,False
215,4937,458,1100,2024-07-26,Processing,6457.65,872.35,,False
216,2459,426,174,2024-08-26,Returned,535.61,194.39,,True
217,4771,35,1236,2024-11-25,Delivered,10073.91,1936.09,12.0,False
218,2402,153,1448,2024-02-08,Delivered,602.65,277.35,7.0,False
219,49,16,515,2024-08-21,Delivered,1950.84,1029.16,5.0,False
220,4312,193,149,2023-06-09,Delivered,62.06,47.94,8.0,False
221,567,258,1103,2023-01-10,Delivered,75.2,14.8,10.0,False
222,1024,458,963,2023-12-21,Delivered,3856.93,2013.07,11.0,False
223,1872,217,617,2024-09-22,Returned,3722.49,757.51,,True
224,1051,465,1004,2023-12-18,Delivered,12208.75,841.25,9.0,False
225,3781,248,1429,2023-11-14,Cancelled,4058.48,51.52,,False
226,1977,139,1844,2024-05-22,Cancelled,81.6,38.4,,False
227,868,212,1436,2023-09-12,Delivered,24.69,15.31,2.0,False
228,4813,317,454,2024-05-14,Delivered,147.29,62.71,3.0,False
229,1454,250,1643,2023-11-11,Delivered,19594.33,8735.67,6.0,False
230,1649,446,592,2024-12-29,Delivered,44321.76,18228.24,3.0,False
231,2773,472,1558,2024-12-04,Delivered,3310.55,1119.45,2.0,False
232,4269,479,1965,2024-02-05,Delivered,907.44,172.56,9.0,False
233,2664,187,144,2023-04-23,Delivered,337.45,62.55,14.0,False
234,3397,287,852,2024-03-07,Delivered,17226.95,7553.05,10.0,False
235,3446,479,1826,2023-09-03,Delivered,518.59,81.41,12.0,False
236,2799,292,490,2023-01-15,Delivered,742.86,157.14,6.0,False
237,1795,107,643,2023-03-15,Delivered,6169.63,350.37,10.0,False
238,2137,465,685,2023-05-15,Delivered,2130.33,489.67,6.0,False
239,4973,207,1907,2024-02-09,Delivered,2483.68,86.32,2.0,False
240,4650,231,1216,2024-10-18,Returned,4682.25,287.75,,True
241,4750,249,1732,2024-12-17,Delivered,17566.39,8753.61,9.0,False
242,4969,210,623,2024-06-03,Delivered,2992.85,927.15,12.0,False
243,479,178,406,2023-08-18,Delivered,230.79,9.21,3.0,False
244,3185,293,1014,2023-07-29,Delivered,480.97,189.03,14.0,False
245,644,217,376,2024-07-30,Delivered,376.71,33.29,5.0,False
246,3955,145,273,2023-05-18,Returned,6858.69,811.31,,True
247,907,250,831,2023-01-11,Delivered,1972.79,707.21,7.0,False
248,4675,423,418,2023-04-03,Delivered,500.3,389.7,9.0,False
249,4294,186,1766,2024-11-29,Delivered,4657.76,1102.24,11.0,False
250,1229,89,709,2024-03-06,Delivered,100293.01,11366.99,4.0,False
251,1689,329,25,2024-04-26,Delivered,2767.76,632.24,12.0,False
252,2371,86,723,2024-09-27,Delivered,3242.1,917.9,13.0,False
253,2441,451,1246,2023-01-02,Cancelled,3713.27,1136.73,,False
254,1306,241,18,2023-08-11,Delivered,168.17,101.83,4.0,False
255,1427,364,38,2024-06-20,Delivered,3093.51,336.49,8.0,False
256,2662,66,624,2023-07-31,Processing,3677.06,2342.94,,False
257,663,60,1400,2024-02-28,Cancelled,67.39,32.61,,False
258,1990,428,1141,2023-01-14,Delivered,98160.13,29599.87,9.0,False
259,4774,169,7,2024-11-19,Delivered,16009.79,7160.21,9.0,False
260,1638,471,1365,2024-11-12,Processing,1174.77,935.23,,False
261,1341,258,1331,2024-12-23,Cancelled,344.35,265.65,,False
262,246,415,1561,2024-09-09,Delivered,665.59,24.41,4.0,False
263,3214,334,1306,2023-08-23,Delivered,3880.62,829.38,12.0,False
264,604,333,1923,2024-06-03,Delivered,303.45,116.55,4.0,False
265,4223,144,325,2024-08-18,Cancelled,6590.44,1509.56,,False
266,404,368,689,2024-12-01,Delivered,13119.68,60.32,3.0,False
267,1843,252,1368,2023-02-01,Delivered,21947.26,9352.74,6.0,False
268,1646,80,448,2024-11-13,Delivered,1436.05,263.95,12.0,False
269,2704,213,514,2024-12-06,Delivered,1140.85,569.15,8.0,False
270,2045,28,1701,2023-02-18,Delivered,6681.29,308.71,6.0,False
271,550,65,825,2024-04-12,Delivered,4026.9,1173.1,12.0,False
272,2393,408,1758,2023-10-18,Delivered,49457.02,26372.98,9.0,False
273,4140,122,1237,2024-09-05,Delivered,4044.1,135.9,9.0,False
274,2266,301,1030,2024-10-16,Returned,494.05,335.95,,True
275,732,126,957,2024-08-11,Delivered,681.04,168.96,7.0,False
276,3391,430,1487,2024-03-27,Cancelled,22602.2,897.8,,False
277,1097,361,710,2023-06-20,Returned,6247.41,412.59,,True
278,2686,337,1939,2024-08-04,Delivered,2755.16,1564.84,5.0,False
279,1074,289,1451,2023-01-25,Delivered,1396.72,1003.28,5.0,False
280,2621,235,1151,2023-11-02,Delivered,38908.76,24371.24,8.0,False
281,630,370,1708,2024-02-09,Delivered,5654.45,3235.55,4.0,False
282,135,398,1882,2023-12-18,Cancelled,8292.78,2677.22,,False
283,741,358,1509,2024-12-25,Returned,3388.66,2561.34,,True
284,4224,97,753,2024-03-30,Delivered,454.18,165.82,3.0,False
285,4843,388,1938,2024-01-09,Delivered,299.07,30.93,4.0,False
286,2333,45,786,2024-08-16,Returned,5457.55,3112.45,,True
287,869,288,316,2024-01-28,Delivered,6562.33,2637.67,13.0,False
288,4382,22,671,2024-12-23,Delivered,11619.87,5030.13,8.0,False
289,1759,282,279,2023-08-17,Delivered,144473.37,46.63,9.0,False
290,3498,203,206,2024-08-14,Delivered,304.97,225.03,14.0,False
291,143,103,977,2023-06-17,Delivered,55740.08,13319.92,11.0,False
292,1834,459,909,2024-05-30,Delivered,3804.48,425.52,7.0,False
293,21,178,741,2024-12-20,Delivered,624.29,145.71,7.0,False
294,1588,302,1351,2023-10-21,Delivered,239.58,150.42,7.0,False
295,3692,104,1002,2024-02-05,Delivered,258.97,71.03,10.0,False
296,47,303,500,2024-09-03,Delivered,6654.69,235.31,12.0,False
297,4364,254,700,2024-07-16,Delivered,1009.99,140.01,12.0,False
298,4118,220,1981,2023-12-29,Delivered,240.71,29.29,9.0,False
299,775,70,256,2023-08-06,Delivered,6982.43,187.57,10.0,False
300,1047,162,1641,2024-03-05,Cancelled,432.76,37.24,,False
301,268,289,558,2023-02-19,Delivered,33.42,26.58,6.0,False
302,2408,198,1057,2023-04-03,Delivered,517.66,12.34,2.0,False
303,335,14,1704,2023-01-14,Cancelled,720.75,119.25,,False
304,3693,108,145,2023-02-05,Delivered,52164.43,36605.57,9.0,False
305,1899,323,1038,2024-03-27,Delivered,12243.94,8946.06,5.0,False
306,4690,119,1492,2024-02-16,Delivered,3782.69,1087.31,14.0,False
307,2264,54,1176,2024-09-10,Delivered,15701.35,6298.65,4.0,False
308,3097,255,220,2024-08-12,Delivered,956.57,333.43,2.0,False
309,2869,151,1073,2023-01-14,Delivered,122775.34,13424.66,3.0,False
310,1435,184,1910,2024-11-01,Delivered,499.04,210.96,11.0,False
311,343,101,139,2024-08-19,Processing,753.18,36.82,,False
312,4734,151,1548,2023-01-15,Delivered,4129.22,780.78,3.0,False
313,2569,290,1356,2023-07-05,Delivered,7179.59,2520.41,8.0,False
314,1870,390,1273,2023-02-07,Cancelled,100.63,39.37,,False
315,3431,240,1581,2024-12-27,Delivered,41087.51,2752.49,7.0,False
316,1355,431,1747,2024-02-01,Processing,338.69,81.31,,False
317,1655,400,1491,2023-03-14,Returned,527.43,162.57,,True
318,4622,314,1944,2023-08-06,Delivered,76923.02,45986.98,14.0,False
319,2350,149,1995,2024-04-17,Delivered,3736.67,1003.33,11.0,False
320,4183,101,1434,2023-04-13,Delivered,13272.99,5517.01,7.0,False
321,3668,362,490,2024-12-19,Delivered,834.76,65.24,1.0,False
322,1367,450,370,2024-06-06,Delivered,90.95,19.05,1.0,False
323,655,283,967,2024-07-26,Returned,53057.05,3092.95,,True
324,637,417,668,2023-04-18,Delivered,9140.97,509.03,8.0,False
325,3326,432,1044,2024-04-04,Delivered,7197.42,1652.58,8.0,False
326,4577,283,1011,2024-12-22,Delivered,17614.61,585.39,10.0,False
327,1279,272,277,2023-03-02,Cancelled,10780.42,5639.58,,False
328,2211,18,1987,2024-03-24,Delivered,1734.9,1375.1,6.0,False
329,106,108,1032,2023-09-01,Returned,388.31,151.69,,True
330,3950,57,856,2024-06-26,Delivered,984.23,5.77,10.0,False
331,3868,340,1786,2024-09-03,Delivered,88218.62,35951.38,3.0,False
332,526,97,775,2024-04-21,Delivered,7868.72,1341.28,7.0,False
333,2978,49,578,2023-09-22,Delivered,14236.55,4983.45,12.0,False
334,2912,228,1526,2023-12-31,Delivered,48122.7,7777.3,12.0,False
335,4357,75,616,2024-06-14,Delivered,2187.53,1702.47,14.0,False
336,4698,496,662,2024-09-10,Delivered,674.8,45.2,1.0,False
337,844,420,1449,2023-04-17,Delivered,3835.47,204.53,2.0,False
338,1903,279,645,2023-09-13,Delivered,5076.83,2513.17,14.0,False
339,4051,19,706,2023-10-21,Delivered,17637.61,612.39,11.0,False
340,76,497,755,2024-06-28,Delivered,3453.7,96.3,10.0,False
341,4776,115,1116,2023-03-11,Delivered,14852.68,1487.32,5.0,False
342,2622,261,889,2024-05-11,Delivered,19736.06,3363.94,7.0,False
343,1975,438,106,2023-12-28,Delivered,284.2,35.8,4.0,False
344,2946,71,1593,2023-11-04,Delivered,102589.63,32970.37,5.0,False
345,2596,443,1576,2023-03-20,Delivered,6981.2,1178.8,14.0,False
346,4387,279,691,2024-10-25,Cancelled,863.86,416.14,,False
347,2207,347,16,2023-06-20,Delivered,176.19,103.81,12.0,False
348,902,341,1790,2024-01-22,Delivered,277.96,192.04,9.0,False
349,3096,297,1531,2024-12-05,Delivered,9523.97,4126.03,8.0,False
350,1767,324,1964,2023-07-04,Delivered,19143.16,9476.84,8.0,False
351,3847,287,51,2024-10-29,Delivered,181.18,18.82,13.0,False
352,4314,50,910,2024-02-28,Delivered,1852.35,947.65,10.0,False
353,1270,92,1778,2024-09-17,Delivered,9834.7,915.3,12.0,False
354,1827,72,1172,2024-12-30,Delivered,57.19,42.81,9.0,False
355,1520,179,1544,2024-02-06,Cancelled,418.62,191.38,,False
356,4111,185,493,2023-04-08,Delivered,76.08,33.92,5.0,False
357,1346,163,700,2024-07-06,Delivered,959.53,190.47,9.0,False
358,701,134,1839,2023-09-02,Returned,1142.36,357.64,,True
359,230,104,1569,2023-12-22,Returned,3384.51,5.49,,True
360,3890,98,1853,2024-03-17,Delivered,3423.99,2396.01,6.0,False
361,4748,417,1368,2023-11-12,Delivered,27035.56,4264.44,13.0,False
362,3495,425,1120,2023-04-13,Delivered,3717.67,2782.33,13.0,False
363,757,100,1032,2023-05-23,Delivered,398.04,141.96,3.0,False
364,3423,89,1597,2024-06-21,Delivered,540.58,269.42,14.0,False
365,2394,492,1106,2024-01-31,Delivered,2727.1,612.9,11.0,False
366,4410,90,431,2024-12-02,Delivered,63156.9,9783.1,4.0,False
367,3600,91,42,2024-07-11,Cancelled,266.59,93.41,,False
368,1749,202,1067,2023-12-25,Delivered,13850.68,5099.32,4.0,False
369,2405,199,160,2024-07-21,Delivered,4633.36,1006.64,1.0,False
370,4212,394,212,2023-06-05,Delivered,7739.2,2070.8,1.0,False
371,2553,312,483,2024-02-19,Delivered,293.2,216.8,1.0,False
372,4678,42,1056,2024-11-14,Delivered,917.73,542.27,11.0,False
373,1824,440,185,2023-09-18,Processing,3011.08,728.92,,False
374,803,199,1393,2023-03-04,Returned,2795.82,44.18,,True
375,1178,269,844,2023-07-03,Delivered,187.8,22.2,5.0,False
376,4370,326,744,2023-10-25,Delivered,13176.8,7963.2,6.0,False
377,1248,84,930,2024-01-23,Returned,332.63,127.37,,True
378,16,262,1834,2023-04-17,Delivered,7649.99,2670.01,5.0,False
379,359,379,1080,2024-02-29,Delivered,2972.91,707.09,11.0,False
380,2427,215,1619,2023-01-07,Cancelled,104250.48,2899.52,,False
381,2749,103,1211,2023-09-26,Delivered,34524.58,275.42,9.0,False
382,1099,462,1699,2024-01-24,Delivered,171.51,68.49,5.0,False
383,4028,280,569,2024-02-03,Delivered,2689.19,90.81,9.0,False
384,1209,466,590,2023-08-15,Delivered,38514.02,6465.98,2.0,False
385,4300,293,882,2024-10-28,Cancelled,514.16,95.84,,False
386,3776,40,400,2023-01-15,Delivered,244.78,45.22,13.0,False
387,1406,316,139,2024-04-20,Delivered,561.68,228.32,9.0,False
388,250,431,768,2024-11-14,Delivered,237.41,2.59,7.0,False
389,1632,398,889,2023-10-29,Delivered,18479.35,4620.65,2.0,False
390,2596,183,1024,2024-08-11,Delivered,374.04,195.96,5.0,False
