customer_id,city,state,signup_date,segment,acquisition_channel,lifetime_orders
51,Ahmedabad,Gujarat,2023-08-18,Premium,Paid Ads,39
52,Chennai,Tamil Nadu,2023-07-08,Regular,App Install,17
53,Kolkata,West Bengal,2024-06-29,Regular,Organic Search,13
54,Vadodara,Gujarat,2023-02-02,New,Email,2
55,Bhopal,Madhya Pradesh,2023-01-27,Regular,Email,14
56,Bhopal,Madhya Pradesh,2023-09-26,Premium,Email,28
57,Hyderabad,Telangana,2023-01-29,Inactive,Social Media,5
58,Patna,Bihar,2024-03-20,Regular,Referral,5
59,Hyderabad,Telangana,2023-04-22,Inactive,Email,4
60,Ahmedabad,Gujarat,2023-10-22,New,Email,2
61,Agra,Uttar Pradesh,2024-03-10,New,Email,3
62,Bhopal,Madhya Pradesh,2024-08-04,Inactive,Email,3
63,Indore,Madhya Pradesh,2023-06-16,Regular,Referral,18
64,Nagpur,Maharashtra,2023-09-01,Premium,Paid Ads,15
65,Coimbatore,Tamil Nadu,2023-10-15,Regular,App Install,12
66,Chandigarh,Punjab,2023-03-29,Regular,Paid Ads,13
67,Chennai,Tamil Nadu,2023-12-12,Regular,Email,16
68,Mumbai,Maharashtra,2023-02-09,Inactive,Email,3
69,Pune,Maharashtra,2024-01-06,Premium,Social Media,57
70,Kolkata,West Bengal,2023-09-14,Premium,App Install,53
71,Chennai,Tamil Nadu,2023-01-13,Regular,Organic Search,13
72,Vadodara,Gujarat,2024-08-05,New,App Install,2
73,Kochi,Kerala,2023-09-28,Regular,Paid Ads,18
74,Pune,Maharashtra,2024-04-18,Regular,Organic Search,18
75,Nagpur,Maharashtra,2023-01-10,New,Referral,1
76,Ahmedabad,Gujarat,2024-01-03,Regular,Referral,10
77,Vadodara,Gujarat,2024-02-23,Inactive,Organic Search,5
78,Lucknow,Uttar Pradesh,2023-03-23,New,Social Media,3
79,Kolkata,West Bengal,2024-07-18,Regular,Social Media,6
80,Chennai,Tamil Nadu,2024-03-27,New,Paid Ads,2
81,Indore,Madhya Pradesh,2023-10-10,Premium,Social Media,46
82,Kolkata,West Bengal,2023-05-11,Premium,Paid Ads,55
83,Indore,Madhya Pradesh,2023-06-28,Inactive,Paid Ads,5
84,Kochi,Kerala,2023-02-20,Regular,Paid Ads,7
85,Ahmedabad,Gujarat,2023-02-09,New,Paid Ads,3
86,Chennai,Tamil Nadu,2024-06-02,Regular,Referral,14
87,Agra,Uttar Pradesh,2023-02-12,Regular,Email,11
88,Surat,Gujarat,2023-03-04,New,App Install,2
89,Delhi,Delhi,2023-09-21,Inactive,Organic Search,3
90,Mumbai,Maharashtra,2024-07-07,Premium,App Install,17
91,Bengaluru,Karnataka,2024-09-06,Regular,Paid Ads,15
92,Bhopal,Madhya Pradesh,2023-04-22,Premium,Organic Search,47
93,Chandigarh,Punjab,2024-03-30,New,Organic Search,3
94,Jaipur,Rajasthan,2023-03-21,Inactive,Paid Ads,2
95,Delhi,Delhi,2023-11-30,Premium,Email,38
96,Ahmedabad,Gujarat,2024-03-01,Inactive,Organic Search,4
97,Agra,Uttar Pradesh,2023-10-17,Regular,Paid Ads,4
98,Surat,Gujarat,2023-12-01,New,Email,2
99,Agra,Uttar Pradesh,2023-12-10,Premium,Referral,56
100,Kochi,Kerala,2024-01-19,Regular,Referral,13
101,Mumbai,Maharashtra,2024-09-28,Premium,Organic Search,25
102,Patna,Bihar,2024-01-13,Regular,Organic Search,13
103,Nagpur,Maharashtra,2023-06-03,New,Email,1
104,Surat,Gujarat,2023-04-19,Inactive,Email,2
105,Kolkata,West Bengal,2023-11-17,Regular,Email,20
106,Bhopal,Madhya Pradesh,2024-08-18,Regular,App Install,15
107,Bengaluru,Karnataka,2023-08-09,New,Referral,3
108,Jaipur,Rajasthan,2023-02-03,Regular,App Install,8
109,Lucknow,Uttar Pradesh,2024-01-26,New,App Install,1
110,Agra,Uttar Pradesh,2023-03-21,Regular,Paid Ads,20
111,Kochi,Kerala,2024-08-11,Regular,App Install,17
112,Kolkata,West Bengal,2024-07-05,Regular,App Install,7
113,Surat,Gujarat,2024-06-24,Regular,Organic Search,19
114,Hyderabad,Telangana,2024-06-21,Regular,Email,18
115,Vadodara,Gujarat,2023-11-21,Inactive,Social Media,2
116,Kochi,Kerala,2024-08-12,Regular,Social Media,11
117,Kolkata,West Bengal,2023-12-03,New,Paid Ads,2
118,Bhopal,Madhya Pradesh,2023-08-25,New,Referral,2
119,Bhopal,Madhya Pradesh,2023-04-29,Regular,App Install,11
120,Hyderabad,Telangana,2024-03-31,Regular,App Install,17
121,Chandigarh,Punjab,2024-01-06,New,Organic Search,2
122,Surat,Gujarat,2024-07-27,New,Email,1
123,Chandigarh,Punjab,2024-01-06,New,App Install,2
124,Surat,Gujarat,2024-09-11,New,Paid Ads,2
125,Mumbai,Maharashtra,2024-03-04,Regular,Paid Ads,8
126,Pune,Maharashtra,2024-07-04,Regular,Paid Ads,17
127,Mumbai,Maharashtra,2024-08-21,New,App Install,1
128,Vadodara,Gujarat,2024-09-12,Regular,Social Media,13
129,Kochi,Kerala,2023-12-16,Regular,Social Media,7
130,Coimbatore,Tamil Nadu,2023-03-25,New,Referral,2
131,Pune,Maharashtra,2024-06-01,Premium,Paid Ads,51
132,Delhi,Delhi,2024-05-21,New,App Install,1
133,Kochi,Kerala,2023-07-04,New,Referral,1
134,Vadodara,Gujarat,2023-06-20,New,Organic Search,2
135,Delhi,Delhi,2023-09-27,Regular,Email,19
136,Lucknow,Uttar Pradesh,2023-04-14,Regular,Paid Ads,5
137,Delhi,Delhi,2024-03-17,Regular,Organic Search,9
138,Chandigarh,Punjab,2023-03-16,New,Paid Ads,3
139,Chandigarh,Punjab,2024-06-26,Regular,Referral,17
140,Bengaluru,Karnataka,2023-12-29,Regular,Paid Ads,16
141,Lucknow,Uttar Pradesh,2024-07-24,New,Paid Ads,3
142,Surat,Gujarat,2023-10-28,New,Organic Search,2
143,Kolkata,West Bengal,2023-12-11,Regular,Email,7
144,Kochi,Kerala,2023-02-16,New,Organic Search,3
145,Jaipur,Rajasthan,2023-12-30,Regular,Referral,17
146,Chennai,Tamil Nadu,2024-04-05,Regular,App Install,17
147,Surat,Gujarat,2023-10-24,Premium,Referral,59
148,Patna,Bihar,2023-05-18,Regular,App Install,9
149,Chennai,Tamil Nadu,2024-08-26,Regular,Email,6
150,Pune,Maharashtra,2023-06-05,Regular,Organic Search,15
151,Agra,Uttar Pradesh,2024-04-09,Premium,Referral,35
152,Bhopal,Madhya Pradesh,2024-03-25,Premium,Paid Ads,47
153,Jaipur,Rajasthan,2024-08-25,Regular,Social Media,7
154,Surat,Gujarat,2023-08-26,Regular,Social Media,19
155,Bengaluru,Karnataka,2023-12-16,Inactive,Organic Search,5
156,Chennai,Tamil Nadu,2024-06-14,Premium,Email,52
157,Pune,Maharashtra,2024-06-04,Regular,Referral,13
158,Indore,Madhya Pradesh,2023-11-27,New,Referral,2
159,Chennai,Tamil Nadu,2023-07-02,Premium,Paid Ads,17
160,Chennai,Tamil Nadu,2023-08-04,Inactive,Referral,5
161,Delhi,Delhi,2023-10-12,Regular,Email,14
162,Bhopal,Madhya Pradesh,2023-04-12,Regular,Social Media,13
163,Chennai,Tamil Nadu,2023-06-19,Regular,Organic Search,13
164,Vadodara,Gujarat,2023-10-08,Premium,Referral,43
165,Kochi,Kerala,2023-08-18,Regular,Paid Ads,13
166,Delhi,Delhi,2023-09-23,New,Email,1
167,Chennai,Tamil Nadu,2023-08-26,New,App Install,2
168,Nagpur,Maharashtra,2023-05-25,Inactive,Organic Search,2
169,Chennai,Tamil Nadu,2024-07-19,Regular,Email,9
170,Bengaluru,Karnataka,2023-01-29,Inactive,Email,1
171,Vadodara,Gujarat,2024-07-06,Regular,Email,10
172,Indore,Madhya Pradesh,2023-01-07,Regular,Referral,4
173,Lucknow,Uttar Pradesh,2024-01-14,Regular,Paid Ads,13
174,Chandigarh,Punjab,2024-08-07,Premium,Referral,43
175,Coimbatore,Tamil Nadu,2024-06-17,Inactive,Paid Ads,4
176,Hyderabad,Telangana,2023-10-30,Regular,Organic Search,7
177,Delhi,Delhi,2024-03-31,New,Referral,2
178,Jaipur,Rajasthan,2023-09-27,Regular,Organic Search,8
179,Jaipur,Rajasthan,2023-10-13,Regular,App Install,7
180,Lucknow,Uttar Pradesh,2023-12-29,Regular,Organic Search,11
181,Patna,Bihar,2023-03-18,New,Social Media,1
182,Nagpur,Maharashtra,2024-06-03,Premium,Social Media,32
183,Agra,Uttar Pradesh,2024-04-09,Regular,App Install,20
184,Delhi,Delhi,2023-03-17,New,App Install,3
185,Jaipur,Rajasthan,2023-11-19,New,Organic Search,2
186,Pune,Maharashtra,2023-04-13,Premium,App Install,48
187,Kochi,Kerala,2023-11-22,Premium,Paid Ads,50
188,Chennai,Tamil Nadu,2023-02-06,Regular,App Install,4
189,Hyderabad,Telangana,2023-09-09,Regular,Paid Ads,16
190,Jaipur,Rajasthan,2023-08-14,Premium,App Install,27
191,Jaipur,Rajasthan,2023-09-29,Regular,Referral,8
192,Kolkata,West Bengal,2024-05-11,Regular,Paid Ads,19
193,Chennai,Tamil Nadu,2023-10-17,Regular,Paid Ads,10
194,Vadodara,Gujarat,2023-04-01,Regular,Email,10
195,Jaipur,Rajasthan,2023-01-04,Regular,Referral,6
196,Kochi,Kerala,2024-05-17,Inactive,Email,5
197,Indore,Madhya Pradesh,2023-08-02,Regular,App Install,9
198,Delhi,Delhi,2023-02-09,Regular,Referral,12
199,Agra,Uttar Pradesh,2024-09-20,Premium,Referral,55
200,Coimbatore,Tamil Nadu,2024-08-20,Regular,Paid Ads,15
201,Agra,Uttar Pradesh,2024-05-10,Premium,Email,57
202,Vadodara,Gujarat,2023-07-04,Regular,Social Media,11
203,Coimbatore,Tamil Nadu,2023-10-27,Premium,App Install,46
204,Hyderabad,Telangana,2024-05-16,Regular,App Install,16
205,Lucknow,Uttar Pradesh,2024-09-04,New,Social Media,3
206,Chennai,Tamil Nadu,2024-05-07,Regular,Social Media,7
207,Jaipur,Rajasthan,2023-08-13,New,Organic Search,2
208,Delhi,Delhi,2024-03-05,Inactive,Referral,3
209,Ahmedabad,Gujarat,2023-09-11,Regular,App Install,17
210,Agra,Uttar Pradesh,2023-04-29,Regular,Paid Ads,18
211,Kolkata,West Bengal,2023-11-23,Regular,App Install,7
212,Chandigarh,Punjab,2023-12-22,Regular,App Install,16
213,Lucknow,Uttar Pradesh,2023-05-12,Regular,Referral,19
214,Jaipur,Rajasthan,2024-09-07,Premium,Referral,58
215,Agra,Uttar Pradesh,2023-08-29,New,Organic Search,2
216,Agra,Uttar Pradesh,2023-10-02,Inactive,Email,2
217,Indore,Madhya Pradesh,2024-02-23,New,Organic Search,3
218,Patna,Bihar,2023-11-27,New,Social Media,3
219,Hyderabad,Telangana,2023-11-22,Premium,Referral,40
220,Kolkata,West Bengal,2024-03-28,Premium,Referral,40
221,Agra,Uttar Pradesh,2023-09-24,Regular,Organic Search,12
222,Indore,Madhya Pradesh,2024-05-12,Regular,App Install,11
223,Surat,Gujarat,2023-12-14,Regular,App Install,5
224,Patna,Bihar,2023-11-12,New,Referral,2
225,Delhi,Delhi,2023-08-15,Premium,Email,25
226,Indore,Madhya Pradesh,2024-07-02,Inactive,Paid Ads,1
227,Surat,Gujarat,2024-09-20,Inactive,Email,3
228,Kochi,Kerala,2023-05-13,Regular,Email,4
229,Hyderabad,Telangana,2023-01-22,New,Referral,1
230,Agra,Uttar Pradesh,2023-12-08,New,Social Media,3
231,Delhi,Delhi,2023-03-06,New,App Install,1
232,Hyderabad,Telangana,2024-06-15,Regular,Paid Ads,15
233,Indore,Madhya Pradesh,2024-07-02,Regular,Paid Ads,9
234,Nagpur,Maharashtra,2024-07-02,Regular,Referral,11
235,Chennai,Tamil Nadu,2023-10-25,New,Paid Ads,2
236,Bengaluru,Karnataka,2023-12-06,Regular,Referral,10
237,Kochi,Kerala,2024-07-20,Regular,App Install,11
238,Chennai,Tamil Nadu,2023-01-14,Regular,Organic Search,4
239,Indore,Madhya Pradesh,2024-06-23,Inactive,Organic Search,5
240,Bhopal,Madhya Pradesh,2024-02-12,Regular,Referral,5
241,Jaipur,Rajasthan,2023-06-10,Inactive,Social Media,3
242,Indore,Madhya Pradesh,2023-01-25,Regular,Paid Ads,11
243,Surat,Gujarat,2023-02-04,Inactive,Social Media,1
244,Vadodara,Gujarat,2024-01-22,Regular,App Install,16
245,Chennai,Tamil Nadu,2023-05-15,New,App Install,2
246,Patna,Bihar,2023-03-28,New,Organic Search,1
247,Chennai,Tamil Nadu,2024-05-31,Inactive,App Install,4
248,Ahmedabad,Gujarat,2023-01-21,Regular,Organic Search,8
249,Nagpur,Maharashtra,2023-04-08,New,App Install,3
250,Kolkata,West Bengal,2024-02-05,New,Paid Ads,3
251,Pune,Maharashtra,2023-11-16,Regular,Social Media,17
252,Chandigarh,Punjab,2024-06-08,Regular,App Install,4
253,Delhi,Delhi,2023-11-06,New,Social Media,2
254,Lucknow,Uttar Pradesh,2023-07-27,Premium,Organic Search,31
255,Agra,Uttar Pradesh,2024-08-13,Premium,Referral,39
256,Agra,Uttar Pradesh,2023-10-26,Regular,Referral,6
257,Delhi,Delhi,2023-08-16,Inactive,Referral,5
258,Chennai,Tamil Nadu,2023-10-13,Inactive,Referral,3
259,Kolkata,West Bengal,2024-06-30,New,Email,1
260,Vadodara,Gujarat,2024-01-27,Premium,Organic Search,46
261,Kochi,Kerala,2024-02-08,Regular,Social Media,7
262,Kochi,Kerala,2024-04-08,Regular,Paid Ads,4
263,Ahmedabad,Gujarat,2024-02-11,Regular,Paid Ads,18
264,Hyderabad,Telangana,2024-01-14,Regular,Referral,7
265,Coimbatore,Tamil Nadu,2023-11-15,Regular,Social Media,8
266,Patna,Bihar,2023-03-27,Regular,Organic Search,9
267,Bhopal,Madhya Pradesh,2023-08-01,Regular,Referral,11
268,Agra,Uttar Pradesh,2023-03-27,New,Paid Ads,2
269,Nagpur,Maharashtra,2024-09-23,Regular,Referral,20
270,Mumbai,Maharashtra,2024-08-03,Inactive,Paid Ads,1
271,Coimbatore,Tamil Nadu,2024-05-20,Premium,Social Media,41
272,Kolkata,West Bengal,2023-11-15,New,App Install,2
273,Nagpur,Maharashtra,2023-06-04,Inactive,Organic Search,3
274,Vadodara,Gujarat,2024-08-01,Regular,Email,17
275,Bengaluru,Karnataka,2023-01-06,New,Social Media,3
276,Bengaluru,Karnataka,2023-08-03,New,Email,2
277,Bengaluru,Karnataka,2024-07-12,New,Referral,2
278,Indore,Madhya Pradesh,2023-08-30,Premium,Social Media,44
279,Kolkata,West Bengal,2024-05-09,Regular,Email,6
280,Bhopal,Madhya Pradesh,2023-04-18,Regular,Referral,6
281,Patna,Bihar,2024-01-20,Inactive,Paid Ads,1
282,Chennai,Tamil Nadu,2023-06-15,New,Email,3
283,Bhopal,Madhya Pradesh,2023-05-05,Regular,Paid Ads,10
284,Kolkata,West Bengal,2024-03-24,Regular,Organic Search,5
285,Lucknow,Uttar Pradesh,2024-03-10,Regular,Referral,9
286,Vadodara,Gujarat,2024-06-21,Premium,Referral,23
287,Coimbatore,Tamil Nadu,2024-07-14,Regular,Referral,16
288,Delhi,Delhi,2023-01-10,Regular,Social Media,7
289,Jaipur,Rajasthan,2024-03-21,New,Social Media,3
290,Kolkata,West Bengal,2023-10-05,Regular,Email,14
291,Mumbai,Maharashtra,2024-09-21,Regular,Social Media,9
292,Chandigarh,Punjab,2023-05-25,Regular,Social Media,20
293,Bhopal,Madhya Pradesh,2023-07-29,Regular,Email,15
294,Kolkata,West Bengal,2024-06-15,New,Email,2
295,Patna,Bihar,2024-04-28,Regular,Referral,10
296,Indore,Madhya Pradesh,2023-12-05,Regular,App Install,8
297,Jaipur,Rajasthan,2023-06-18,Premium,Email,60
298,Mumbai,Maharashtra,2024-04-30,New,Organic Search,2
299,Delhi,Delhi,2024-03-02,Regular,Paid Ads,8
300,Kochi,Kerala,2024-04-26,Regular,Organic Search,4
301,Vadodara,Gujarat,2023-11-16,Regular,App Install,10
302,Surat,Gujarat,2023-07-24,Regular,App Install,7
303,Coimbatore,Tamil Nadu,2024-07-04,Inactive,Referral,3
304,Indore,Madhya Pradesh,2023-04-07,Regular,Organic Search,18
305,Bengaluru,Karnataka,2024-08-31,Premium,Paid Ads,19
306,Bengaluru,Karnataka,2023-12-25,New,App Install,3
307,Pune,Maharashtra,2023-08-20,Regular,Social Media,4
308,Kochi,Kerala,2023-07-17,Regular,Social Media,13
309,Chandigarh,Punjab,2024-03-12,New,Email,3
310,Kochi,Kerala,2023-11-10,Premium,Social Media,54
311,Kochi,Kerala,2024-02-17,Inactive,Social Media,5
312,Chennai,Tamil Nadu,2024-07-08,Inactive,App Install,2
313,Chennai,Tamil Nadu,2023-03-21,Premium,Email,24
314,Bengaluru,Karnataka,2023-04-16,Regular,App Install,10
315,Chandigarh,Punjab,2023-10-14,New,Paid Ads,2
316,Kochi,Kerala,2024-07-31,Inactive,Organic Search,2
317,Jaipur,Rajasthan,2024-06-18,New,Email,3
318,Bhopal,Madhya Pradesh,2024-01-28,Regular,Social Media,12
319,Hyderabad,Telangana,2024-09-22,Premium,App Install,45
320,Vadodara,Gujarat,2023-08-03,Inactive,Paid Ads,1
321,Kochi,Kerala,2023-08-26,New,Paid Ads,1
322,Agra,Uttar Pradesh,2024-09-21,Regular,Paid Ads,8
323,Coimbatore,Tamil Nadu,2023-06-18,Premium,Referral,15
324,Kochi,Kerala,2023-11-28,Regular,Organic Search,5
325,Mumbai,Maharashtra,2023-05-21,New,Email,2
326,Patna,Bihar,2024-03-11,Regular,App Install,19
327,Pune,Maharashtra,2023-12-01,Premium,Social Media,47
328,Vadodara,Gujarat,2023-05-01,Regular,Paid Ads,16
329,Coimbatore,Tamil Nadu,2024-01-22,Regular,Referral,19
330,Kochi,Kerala,2023-12-30,Regular,Social Media,20
331,Coimbatore,Tamil Nadu,2023-11-21,Premium,Email,20
332,Kolkata,West Bengal,2024-09-11,Regular,Paid Ads,9
333,Chandigarh,Punjab,2023-10-12,Inactive,App Install,2
334,Bengaluru,Karnataka,2024-03-23,Premium,Email,43
335,Kochi,Kerala,2024-05-16,New,App Install,2
336,Kochi,Kerala,2023-05-04,New,Email,2
337,Chennai,Tamil Nadu,2023-12-23,Inactive,Paid Ads,1
338,Coimbatore,Tamil Nadu,2024-01-10,Premium,Referral,57
339,Lucknow,Uttar Pradesh,2023-12-21,Premium,App Install,42
340,Pune,Maharashtra,2023-08-07,Regular,Email,10
341,Chandigarh,Punjab,2024-01-27,New,Social Media,1
342,Chennai,Tamil Nadu,2023-01-11,Regular,Paid Ads,18
343,Mumbai,Maharashtra,2024-01-05,New,Email,1
344,Hyderabad,Telangana,2023-01-06,New,Email,2
345,Pune,Maharashtra,2023-12-03,Inactive,Organic Search,3
346,Kochi,Kerala,2023-09-17,Premium,Email,15
347,Agra,Uttar Pradesh,2024-09-13,Regular,Social Media,5
348,Kolkata,West Bengal,2023-10-09,New,App Install,2
349,Bhopal,Madhya Pradesh,2024-02-12,New,Organic Search,3
350,Ahmedabad,Gujarat,2023-09-17,Regular,Social Media,5
351,Agra,Uttar Pradesh,2024-08-08,Inactive,Organic Search,4
352,Surat,Gujarat,2024-09-14,New,App Install,2
353,Vadodara,Gujarat,2024-05-17,New,Paid Ads,2
354,Bengaluru,Karnataka,2024-07-12,New,Organic Search,1
355,Agra,Uttar Pradesh,2024-01-14,Inactive,Organic Search,5
356,Hyderabad,Telangana,2023-06-06,New,App Install,3
357,Agra,Uttar Pradesh,2023-07-01,New,Paid Ads,1
358,Kolkata,West Bengal,2024-03-05,New,Organic Search,1
359,Bengaluru,Karnataka,2024-03-30,Regular,App Install,5
360,Jaipur,Rajasthan,2023-11-18,New,Organic Search,3
361,Patna,Bihar,2023-10-12,Regular,Paid Ads,4
362,Pune,Maharashtra,2023-12-07,Premium,App Install,35
363,Bhopal,Madhya Pradesh,2023-06-23,New,Email,3
364,Surat,Gujarat,2024-01-11,Premium,Email,15
365,Ahmedabad,Gujarat,2024-02-17,Regular,Referral,5
366,Indore,Madhya Pradesh,2023-03-08,Premium,Paid Ads,47
367,Kolkata,West Bengal,2023-06-01,Inactive,App Install,3
368,Patna,Bihar,2023-03-27,Regular,Paid Ads,18
369,Mumbai,Maharashtra,2023-02-15,New,Social Media,3
370,Vadodara,Gujarat,2023-07-23,New,App Install,3
371,Surat,Gujarat,2024-02-24,Inactive,Paid Ads,1
372,Patna,Bihar,2023-11-15,New,Social Media,3
373,Patna,Bihar,2023-12-26,Regular,Organic Search,14
374,Nagpur,Maharashtra,2024-04-22,Inactive,Email,1
375,Ahmedabad,Gujarat,2024-08-02,Premium,Referral,20
376,Delhi,Delhi,2023-04-30,New,Organic Search,1
377,Nagpur,Maharashtra,2023-03-30,Regular,Paid Ads,14
378,Pune,Maharashtra,2024-08-28,Regular,App Install,4
379,Pune,Maharashtra,2023-06-23,New,Organic Search,1
380,Coimbatore,Tamil Nadu,2024-01-19,Premium,Referral,20
381,Patna,Bihar,2023-09-10,Regular,Social Media,10
382,Pune,Maharashtra,2023-05-16,Regular,Social Media,5
383,Pune,Maharashtra,2024-01-24,Premium,App Install,33
384,Jaipur,Rajasthan,2023-07-02,New,Social Media,1
385,Jaipur,Rajasthan,2024-08-01,New,Social Media,2
386,Kolkata,West Bengal,2023-08-20,Regular,Paid Ads,12
387,Bengaluru,Karnataka,2023-07-24,Regular,Paid Ads,13
388,Jaipur,Rajasthan,2023-09-23,Premium,App Install,43
389,Vadodara,Gujarat,2023-09-28,Premium,Organic Search,46
390,Nagpur,Maharashtra,2023-12-30,Regular,Email,15
391,Vadodara,Gujarat,2023-12-24,Regular,App Install,20
392,Bhopal,Madhya Pradesh,2024-04-05,Premium,App Install,58
393,Pune,Maharashtra,2023-06-24,Regular,Organic Search,16
394,Surat,Gujarat,2023-06-09,New,Email,3
395,Mumbai,Maharashtra,2023-08-04,Inactive,App Install,4
396,Kolkata,West Bengal,2023-12-22,New,App Install,3
397,Jaipur,Rajasthan,2023-10-23,Inactive,Paid Ads,3
398,Indore,Madhya Pradesh,2024-05-30,Regular,Email,12
399,Nagpur,Maharashtra,2023-04-03,Regular,Email,10
400,Lucknow,Uttar Pradesh,2023-09-22,Inactive,Paid Ads,4
401,Jaipur,Rajasthan,2023-09-25,Regular,Organic Search,7
402,Chennai,Tamil Nadu,2024-06-13,New,App Install,3
403,Lucknow,Uttar Pradesh,2023-07-10,Inactive,Referral,2
404,Vadodara,Gujarat,2024-04-23,Regular,Email,14
405,Chandigarh,Punjab,2024-01-17,Inactive,Email,4
406,Hyderabad,Telangana,2024-08-25,Regular,Organic Search,14
407,Delhi,Delhi,2023-04-18,Inactive,App Install,3
408,Surat,Gujarat,2023-01-09,Inactive,Paid Ads,4
409,Bhopal,Madhya Pradesh,2024-05-01,Regular,Social Media,14
410,Pune,Maharashtra,2023-04-13,New,Paid Ads,2
411,Coimbatore,Tamil Nadu,2023-11-10,New,Paid Ads,2
412,Chandigarh,Punjab,2024-07-13,Regular,Paid Ads,4
413,Nagpur,Maharashtra,2024-03-25,Regular,Email,18
414,Chennai,Tamil Nadu,2024-08-30,Premium,Email,59
415,Hyderabad,Telangana,2024-03-21,Premium,App Install,40
416,Mumbai,Maharashtra,2024-04-29,Premium,Paid Ads,31
417,Chennai,Tamil Nadu,2024-01-18,Regular,Email,14
418,Lucknow,Uttar Pradesh,2024-05-09,New,App Install,2
419,Coimbatore,Tamil Nadu,2023-11-04,Regular,Organic Search,11
420,Delhi,Delhi,2024-06-03,Regular,Organic Search,17
421,Jaipur,Rajasthan,2024-03-12,New,Social Media,3
422,Bhopal,Madhya Pradesh,2024-02-15,Regular,Email,4
423,Hyderabad,Telangana,2023-06-17,Regular,Email,9
424,Nagpur,Maharashtra,2023-11-04,Premium,Email,59
425,Lucknow,Uttar Pradesh,2024-06-20,New,Paid Ads,3
426,Chennai,Tamil Nadu,2023-05-23,New,Paid Ads,3
427,Nagpur,Maharashtra,2023-12-08,New,Organic Search,1
428,Mumbai,Maharashtra,2023-11-13,Regular,Paid Ads,15
429,Chandigarh,Punjab,2024-04-14,New,Referral,1
430,Chandigarh,Punjab,2024-04-16,New,Organic Search,3
431,Bengaluru,Karnataka,2023-06-01,New,Paid Ads,1
432,Jaipur,Rajasthan,2023-11-05,New,Social Media,1
433,Hyderabad,Telangana,2023-07-09,New,Paid Ads,1
