seller_id,city,state,join_date,category_focus,fulfillment_type,seller_rating,active_listings
36,Chandigarh,Punjab,2022-02-06,Books,Marketplace,4.0,86
37,Agra,Uttar Pradesh,2022-12-11,Electronics,Self-Ship,3.3,174
38,Bengaluru,Karnataka,2022-05-18,Home & Kitchen,Marketplace,3.4,469
39,Bhopal,Madhya Pradesh,2022-08-15,Electronics,Self-Ship,3.6,363
40,Agra,Uttar Pradesh,2022-02-05,Sports,FBA,3.9,123
41,Hyderabad,Telangana,2022-01-02,Electronics,Marketplace,4.6,413
42,Lucknow,Uttar Pradesh,2022-04-20,Fashion,Marketplace,2.9,406
43,Nagpur,Maharashtra,2022-03-19,Books,FBA,3.7,249
44,Patna,Bihar,2022-04-15,Fashion,FBA,3.5,381
45,Coimbatore,Tamil Nadu,2022-01-18,Books,Self-Ship,3.5,162
46,Chandigarh,Punjab,2022-08-15,Electronics,FBA,3.0,195
47,Delhi,Delhi,2022-07-13,Fashion,FBA,3.3,170
48,Kolkata,West Bengal,2022-09-15,Sports,Self-Ship,2.8,157
49,Bengaluru,Karnataka,2022-01-20,Books,Marketplace,3.7,372
50,Lucknow,Uttar Pradesh,2022-01-28,Books,FBA,4.7,148
51,Mumbai,Maharashtra,2022-11-28,Books,Self-Ship,3.7,398
52,Indore,Madhya Pradesh,2022-03-27,Sports,Self-Ship,3.6,80
53,Indore,Madhya Pradesh,2022-01-02,Sports,Self-Ship,4.6,17
54,Delhi,Delhi,2022-12-28,Fashion,Self-Ship,3.0,270
55,Indore,Madhya Pradesh,2022-07-26,Books,Self-Ship,4.9,383
56,Bengaluru,Karnataka,2022-10-21,Home & Kitchen,Self-Ship,3.2,314
57,Chandigarh,Punjab,2022-10-28,Books,FBA,2.8,483
58,Pune,Maharashtra,2022-12-24,Sports,Marketplace,4.2,393
59,Vadodara,Gujarat,2022-10-05,Grocery,Marketplace,3.2,316
60,Bengaluru,Karnataka,2022-11-03,Home & Kitchen,Marketplace,3.8,27
61,Vadodara,Gujarat,2022-11-14,Books,Self-Ship,4.5,17
62,Lucknow,Uttar Pradesh,2022-12-26,Sports,Marketplace,3.0,431
63,Nagpur,Maharashtra,2022-08-12,Grocery,Self-Ship,3.0,77
64,Ahmedabad,Gujarat,2022-05-12,Sports,Self-Ship,2.8,61
65,Kolkata,West Bengal,2022-10-08,Books,Marketplace,4.3,460
66,Kochi,Kerala,2022-11-30,Grocery,FBA,4.2,476
67,Hyderabad,Telangana,2022-11-12,Home & Kitchen,Self-Ship,3.9,183
68,Ahmedabad,Gujarat,2022-01-09,Home & Kitchen,FBA,4.2,103
69,Patna,Bihar,2022-12-24,Beauty,FBA,2.8,108
70,Vadodara,Gujarat,2022-12-27,Sports,Self-Ship,4.8,163
71,Kolkata,West Bengal,2022-11-23,Grocery,FBA,3.4,376
72,Patna,Bihar,2022-09-16,Books,Marketplace,3.7,443
73,Coimbatore,Tamil Nadu,2022-09-14,Grocery,Marketplace,2.9,75
74,Pune,Maharashtra,2022-09-27,Beauty,Marketplace,3.9,257
75,Delhi,Delhi,2022-12-03,Home & Kitchen,Marketplace,4.9,158
76,Bengaluru,Karnataka,2022-09-25,Beauty,FBA,3.5,49
77,Pune,Maharashtra,2022-05-11,Books,Marketplace,4.1,215
78,Lucknow,Uttar Pradesh,2022-10-22,Beauty,Marketplace,3.8,455
79,Jaipur,Rajasthan,2022-01-13,Beauty,Marketplace,3.3,229
80,Patna,Bihar,2022-05-18,Sports,Marketplace,4.4,208
81,Pune,Maharashtra,2022-10-05,Books,FBA,4.9,448
82,Agra,Uttar Pradesh,2022-08-16,Grocery,FBA,3.0,421
83,Hyderabad,Telangana,2022-10-06,Electronics,FBA,3.9,82
84,Nagpur,Maharashtra,2022-07-16,Electronics,Self-Ship,2.8,60
85,Nagpur,Maharashtra,2022-07-02,Home & Kitchen,Self-Ship,4.3,360
86,Coimbatore,Tamil Nadu,2022-05-23,Beauty,Self-Ship,3.7,484
87,Coimbatore,Tamil Nadu,2022-06-15,Beauty,Self-Ship,4.4,193
88,Chandigarh,Punjab,2022-02-21,Home & Kitchen,FBA,3.1,230
89,Jaipur,Rajasthan,2022-01-04,Electronics,FBA,3.5,238
90,Surat,Gujarat,2022-08-01,Sports,Marketplace,4.6,159
91,Delhi,Delhi,2022-02-06,Home & Kitchen,Self-Ship,3.5,140
92,Surat,Gujarat,2022-03-20,Electronics,FBA,4.7,451
93,Lucknow,Uttar Pradesh,2022-02-05,Home & Kitchen,Marketplace,4.0,251
94,Lucknow,Uttar Pradesh,2022-03-15,Electronics,FBA,3.0,218
95,Kochi,Kerala,2022-01-09,Beauty,Marketplace,4.4,438
96,Surat,Gujarat,2022-08-29,Grocery,FBA,4.3,241
97,Mumbai,Maharashtra,2022-07-29,Fashion,FBA,2.6,328
98,Lucknow,Uttar Pradesh,2022-05-18,Grocery,FBA,4.8,272
99,Nagpur,Maharashtra,2022-03-30,Electronics,FBA,4.5,180
100,Delhi,Delhi,2022-11-10,Sports,Marketplace,3.8,25
101,Agra,Uttar Pradesh,2022-05-23,Grocery,Marketplace,2.7,147
102,Vadodara,Gujarat,2022-10-26,Electronics,Self-Ship,4.1,431
103,Agra,Uttar Pradesh,2022-11-02,Beauty,Self-Ship,4.7,480
104,Vadodara,Gujarat,2022-03-11,Beauty,Self-Ship,3.3,88
105,Kochi,Kerala,2022-02-26,Home & Kitchen,FBA,3.4,322
106,Jaipur,Rajasthan,2022-01-07,Sports,Self-Ship,3.3,31
107,Patna,Bihar,2022-07-01,Fashion,Self-Ship,4.4,261
108,Lucknow,Uttar Pradesh,2022-01-08,Sports,Marketplace,3.3,337
109,Ahmedabad,Gujarat,2022-05-09,Sports,Marketplace,2.5,182
110,Vadodara,Gujarat,2022-11-18,Grocery,Marketplace,2.6,346
111,Nagpur,Maharashtra,2022-03-28,Electronics,Marketplace,4.0,148
112,Chennai,Tamil Nadu,2022-01-23,Books,FBA,4.9,191
113,Coimbatore,Tamil Nadu,2022-03-13,Sports,Self-Ship,3.8,322
114,Mumbai,Maharashtra,2022-04-08,Beauty,Self-Ship,2.9,126
115,Hyderabad,Telangana,2022-08-14,Sports,Marketplace,3.6,156
116,Kochi,Kerala,2022-08-24,Beauty,Self-Ship,4.0,499
117,Hyderabad,Telangana,2022-06-08,Books,FBA,3.8,227
118,Jaipur,Rajasthan,2022-09-25,Books,Marketplace,2.9,11
119,Coimbatore,Tamil Nadu,2022-03-08,Sports,Marketplace,3.3,338
120,Coimbatore,Tamil Nadu,2022-07-22,Grocery,Marketplace,3.8,490
121,Jaipur,Rajasthan,2022-10-20,Electronics,Self-Ship,2.9,341
122,Ahmedabad,Gujarat,2022-08-08,Fashion,FBA,4.3,194
123,Kochi,Kerala,2022-11-15,Beauty,Self-Ship,2.9,225
124,Chandigarh,Punjab,2022-09-22,Home & Kitchen,FBA,2.7,237
125,Pune,Maharashtra,2022-01-02,Books,Self-Ship,3.5,441
126,Vadodara,Gujarat,2022-12-03,Fashion,Marketplace,4.8,54
127,Indore,Madhya Pradesh,2022-09-29,Electronics,FBA,3.7,266
128,Chennai,Tamil Nadu,2022-03-17,Home & Kitchen,Self-Ship,4.6,430
129,Surat,Gujarat,2022-06-09,Sports,Self-Ship,4.1,313
130,Mumbai,Maharashtra,2022-03-20,Beauty,FBA,2.8,381
131,Chennai,Tamil Nadu,2022-12-01,Fashion,Self-Ship,2.8,329
132,Coimbatore,Tamil Nadu,2022-01-14,Sports,FBA,4.7,126
133,Chandigarh,Punjab,2022-10-21,Books,FBA,2.6,426
134,Nagpur,Maharashtra,2022-05-20,Home & Kitchen,Marketplace,3.9,336
135,Patna,Bihar,2022-12-10,Electronics,Marketplace,3.2,248
136,Patna,Bihar,2022-06-15,Sports,Marketplace,3.1,331
137,Patna,Bihar,2022-09-12,Beauty,Self-Ship,3.3,313
138,Coimbatore,Tamil Nadu,2022-10-06,Electronics,Marketplace,4.1,30
139,Patna,Bihar,2022-04-18,Books,Self-Ship,3.8,190
140,Vadodara,Gujarat,2022-06-14,Electronics,Self-Ship,4.0,295
141,Vadodara,Gujarat,2022-07-09,Home & Kitchen,Marketplace,5.0,400
142,Bhopal,Madhya Pradesh,2022-07-27,Fashion,Marketplace,3.0,144
143,Kochi,Kerala,2022-08-15,Sports,Self-Ship,3.0,21
144,Chennai,Tamil Nadu,2022-12-17,Electronics,Self-Ship,3.5,87
145,Ahmedabad,Gujarat,2022-07-24,Sports,Marketplace,2.8,68
146,Agra,Uttar Pradesh,2022-11-20,Electronics,Self-Ship,4.3,290
147,Kochi,Kerala,2022-03-21,Electronics,Marketplace,4.1,286
148,Coimbatore,Tamil Nadu,2022-07-18,Books,Marketplace,4.5,60
149,Coimbatore,Tamil Nadu,2022-03-10,Grocery,FBA,4.1,260
150,Mumbai,Maharashtra,2022-07-18,Beauty,Marketplace,4.4,315
151,Delhi,Delhi,2022-03-02,Grocery,FBA,3.6,77
152,Ahmedabad,Gujarat,2022-03-17,Beauty,Marketplace,3.9,208
153,Kochi,Kerala,2022-04-29,Sports,FBA,3.2,371
154,Coimbatore,Tamil Nadu,2022-08-12,Books,Marketplace,3.3,471
155,Patna,Bihar,2022-05-05,Electronics,Marketplace,3.3,225
156,Chandigarh,Punjab,2022-08-24,Home & Kitchen,Marketplace,4.0,451
157,Coimbatore,Tamil Nadu,2022-04-26,Grocery,FBA,3.3,363
158,Patna,Bihar,2022-09-07,Electronics,Self-Ship,3.1,61
159,Kolkata,West Bengal,2022-12-03,Grocery,FBA,2.8,178
160,Surat,Gujarat,2022-01-22,Books,Marketplace,4.6,172
161,Patna,Bihar,2022-01-17,Books,Self-Ship,2.8,57
162,Coimbatore,Tamil Nadu,2022-11-13,Beauty,Marketplace,4.2,388
163,Ahmedabad,Gujarat,2022-05-21,Sports,Marketplace,4.6,144
164,Delhi,Delhi,2022-07-08,Home & Kitchen,Marketplace,3.8,63
165,Bengaluru,Karnataka,2022-02-02,Home & Kitchen,Self-Ship,4.7,496
166,Delhi,Delhi,2022-12-26,Books,FBA,4.4,489
167,Ahmedabad,Gujarat,2022-06-15,Books,FBA,3.0,284
168,Patna,Bihar,2022-06-16,Electronics,Marketplace,4.4,429
169,Kochi,Kerala,2022-02-08,Sports,Marketplace,2.6,337
170,Patna,Bihar,2022-08-19,Grocery,Marketplace,3.6,37
171,Chennai,Tamil Nadu,2022-11-24,Fashion,Self-Ship,4.5,331
172,Jaipur,Rajasthan,2022-08-07,Home & Kitchen,Marketplace,3.2,220
173,Chandigarh,Punjab,2022-05-31,Sports,FBA,4.8,128
174,Nagpur,Maharashtra,2022-08-07,Books,Self-Ship,4.5,43
175,Nagpur,Maharashtra,2022-03-10,Fashion,Marketplace,3.3,121
176,Chandigarh,Punjab,2022-12-05,Sports,FBA,4.7,191
177,Vadodara,Gujarat,2022-07-07,Beauty,Self-Ship,4.3,92
178,Agra,Uttar Pradesh,2022-12-09,Books,FBA,4.2,129
179,Hyderabad,Telangana,2022-07-21,Sports,Marketplace,4.4,116
180,Delhi,Delhi,2022-10-17,Fashion,FBA,3.3,198
181,Lucknow,Uttar Pradesh,2022-03-25,Books,FBA,3.1,163
182,Bengaluru,Karnataka,2022-07-10,Beauty,FBA,3.9,330
183,Jaipur,Rajasthan,2022-05-07,Sports,Marketplace,3.6,209
184,Mumbai,Maharashtra,2022-04-17,Beauty,Self-Ship,3.2,206
185,Chandigarh,Punjab,2022-05-11,Books,Self-Ship,2.9,72
186,Indore,Madhya Pradesh,2022-11-20,Books,Marketplace,3.4,155
187,Bengaluru,Karnataka,2022-09-07,Books,Self-Ship,4.4,482
188,Agra,Uttar Pradesh,2022-08-06,Electronics,FBA,3.6,182
189,Mumbai,Maharashtra,2022-03-26,Fashion,FBA,3.8,58
190,Bhopal,Madhya Pradesh,2022-10-10,Sports,FBA,4.1,492
191,Lucknow,Uttar Pradesh,2022-04-27,Electronics,Self-Ship,4.6,351
192,Chandigarh,Punjab,2022-12-24,Beauty,FBA,4.3,140
193,Kochi,Kerala,2022-12-22,Fashion,Self-Ship,4.5,157
194,Mumbai,Maharashtra,2022-03-07,Books,Marketplace,4.5,450
195,Chennai,Tamil Nadu,2022-07-27,Sports,Self-Ship,4.2,133
196,Pune,Maharashtra,2022-01-15,Grocery,FBA,3.6,446
197,Indore,Madhya Pradesh,2022-01-16,Books,Marketplace,4.3,309
198,Bhopal,Madhya Pradesh,2022-04-06,Books,FBA,3.9,106
199,Nagpur,Maharashtra,2022-08-20,Beauty,Self-Ship,2.8,392
200,Bhopal,Madhya Pradesh,2022-07-31,Beauty,Self-Ship,4.9,10
201,Chennai,Tamil Nadu,2022-07-21,Home & Kitchen,FBA,3.2,425
202,Delhi,Delhi,2022-03-07,Fashion,FBA,4.2,122
203,Jaipur,Rajasthan,2022-10-29,Sports,Marketplace,2.6,470
204,Pune,Maharashtra,2022-08-13,Books,Self-Ship,3.9,466
205,Nagpur,Maharashtra,2022-07-03,Beauty,Marketplace,4.4,58
206,Chandigarh,Punjab,2022-08-20,Grocery,Marketplace,2.7,86
207,Lucknow,Uttar Pradesh,2022-07-26,Home & Kitchen,FBA,3.2,23
208,Agra,Uttar Pradesh,2022-04-19,Fashion,FBA,4.4,189
209,Bengaluru,Karnataka,2022-06-05,Beauty,Self-Ship,4.8,232
210,Lucknow,Uttar Pradesh,2022-07-12,Fashion,FBA,2.8,206
211,Ahmedabad,Gujarat,2022-03-07,Beauty,Self-Ship,3.0,300
212,Vadodara,Gujarat,2022-07-02,Grocery,Marketplace,4.8,205
213,Agra,Uttar Pradesh,2022-06-21,Books,Self-Ship,4.0,90
214,Kolkata,West Bengal,2022-12-17,Beauty,Self-Ship,3.4,460
215,Jaipur,Rajasthan,2022-02-17,Grocery,Self-Ship,4.0,23
216,Pune,Maharashtra,2022-10-08,Grocery,Self-Ship,2.5,101
217,Surat,Gujarat,2022-02-02,Home & Kitchen,Marketplace,4.3,116
218,Jaipur,Rajasthan,2022-05-28,Grocery,Marketplace,3.1,291
219,Bhopal,Madhya Pradesh,2022-03-14,Beauty,FBA,3.8,284
220,Ahmedabad,Gujarat,2022-01-01,Sports,Self-Ship,3.7,133
221,Ahmedabad,Gujarat,2022-05-10,Electronics,Self-Ship,3.2,384
222,Bengaluru,Karnataka,2022-12-18,Home & Kitchen,Self-Ship,3.2,434
223,Pune,Maharashtra,2022-07-03,Fashion,FBA,2.8,366
224,Vadodara,Gujarat,2022-09-27,Beauty,Marketplace,3.7,431
225,Surat,Gujarat,2022-02-02,Fashion,FBA,4.7,14
226,Lucknow,Uttar Pradesh,2022-10-26,Electronics,Self-Ship,3.2,235
227,Chandigarh,Punjab,2022-08-11,Books,Self-Ship,2.7,109
228,Delhi,Delhi,2022-09-28,Books,Self-Ship,3.8,40
229,Hyderabad,Telangana,2022-12-23,Books,Marketplace,3.7,134
230,Bengaluru,Karnataka,2022-04-16,Home & Kitchen,Marketplace,2.7,57
231,Bengaluru,Karnataka,2022-04-28,Home & Kitchen,Self-Ship,3.7,221
232,Kolkata,West Bengal,2022-02-23,Books,FBA,3.7,290
233,Bengaluru,Karnataka,2022-08-22,Sports,FBA,2.6,353
234,Bhopal,Madhya Pradesh,2022-09-26,Books,Self-Ship,3.6,75
235,Surat,Gujarat,2022-08-21,Grocery,FBA,3.5,290
236,Mumbai,Maharashtra,2022-08-08,Fashion,Marketplace,4.1,135
237,Bengaluru,Karnataka,2022-05-15,Home & Kitchen,FBA,4.3,110
238,Mumbai,Maharashtra,2022-01-18,Beauty,FBA,3.0,37
239,Kolkata,West Bengal,2022-08-10,Sports,Self-Ship,4.9,363
240,Surat,Gujarat,2022-01-10,Books,Marketplace,3.3,435
241,Chennai,Tamil Nadu,2022-05-28,Fashion,Marketplace,2.7,158
242,Chennai,Tamil Nadu,2022-07-26,Electronics,Self-Ship,3.7,62
243,Surat,Gujarat,2022-05-12,Electronics,Self-Ship,4.3,299
244,Chennai,Tamil Nadu,2022-02-18,Electronics,Self-Ship,3.6,137
245,Pune,Maharashtra,2022-09-23,Grocery,FBA,2.8,446
246,Chennai,Tamil Nadu,2022-01-20,Home & Kitchen,FBA,5.0,128
247,Vadodara,Gujarat,2022-04-05,Fashion,Marketplace,2.9,200
248,Bhopal,Madhya Pradesh,2022-12-02,Fashion,FBA,2.7,349
249,Agra,Uttar Pradesh,2022-01-24,Grocery,FBA,2.8,116
250,Jaipur,Rajasthan,2022-06-07,Sports,FBA,3.1,61
251,Pune,Maharashtra,2022-11-25,Fashion,FBA,3.4,274
252,Bhopal,Madhya Pradesh,2022-04-20,Electronics,FBA,3.1,316
253,Jaipur,Rajasthan,2022-07-30,Home & Kitchen,Marketplace,3.2,74
254,Pune,Maharashtra,2022-04-06,Home & Kitchen,Marketplace,3.5,405
255,Lucknow,Uttar Pradesh,2022-08-15,Sports,Self-Ship,4.5,98
256,Jaipur,Rajasthan,2022-09-20,Sports,Self-Ship,3.6,147
257,Kolkata,West Bengal,2022-01-28,Books,Marketplace,4.5,496
258,Indore,Madhya Pradesh,2022-08-12,Fashion,Self-Ship,4.1,252
259,Ahmedabad,Gujarat,2022-12-05,Home & Kitchen,Marketplace,3.9,330
260,Indore,Madhya Pradesh,2022-11-15,Fashion,Self-Ship,4.6,192
261,Bhopal,Madhya Pradesh,2022-02-17,Grocery,Self-Ship,4.2,206
262,Bhopal,Madhya Pradesh,2022-06-20,Home & Kitchen,Marketplace,4.6,146
263,Chandigarh,Punjab,2022-07-19,Grocery,FBA,3.4,136
264,Coimbatore,Tamil Nadu,2022-11-14,Electronics,Self-Ship,3.5,63
265,Jaipur,Rajasthan,2022-07-09,Beauty,FBA,3.1,444
266,Vadodara,Gujarat,2022-07-09,Books,FBA,3.2,236
267,Jaipur,Rajasthan,2022-07-21,Grocery,Self-Ship,4.3,351
268,Ahmedabad,Gujarat,2022-04-17,Home & Kitchen,Marketplace,4.0,362
269,Nagpur,Maharashtra,2022-11-21,Fashion,Marketplace,3.9,183
270,Ahmedabad,Gujarat,2022-05-29,Fashion,FBA,4.7,372
271,Bhopal,Madhya Pradesh,2022-10-31,Beauty,FBA,3.2,183
272,Chandigarh,Punjab,2022-03-22,Electronics,Marketplace,3.6,340
273,Nagpur,Maharashtra,2022-11-17,Fashion,Marketplace,4.8,175
274,Jaipur,Rajasthan,2022-12-04,Fashion,Self-Ship,3.5,178
275,Coimbatore,Tamil Nadu,2022-08-08,Books,FBA,4.2,23
276,Nagpur,Maharashtra,2022-02-21,Grocery,Self-Ship,4.3,85
277,Lucknow,Uttar Pradesh,2022-08-29,Sports,Marketplace,4.1,325
278,Agra,Uttar Pradesh,2022-10-07,Grocery,Marketplace,2.7,59
279,Indore,Madhya Pradesh,2022-04-25,Grocery,Marketplace,4.9,52
280,Hyderabad,Telangana,2022-09-21,Beauty,Marketplace,3.0,246
281,Bengaluru,Karnataka,2022-05-06,Electronics,FBA,3.7,116
282,Chandigarh,Punjab,2022-07-14,Fashion,FBA,3.7,95
283,Mumbai,Maharashtra,2022-05-21,Electronics,Marketplace,4.0,427
284,Chandigarh,Punjab,2022-12-31,Sports,FBA,3.9,81
285,Bhopal,Madhya Pradesh,2022-05-21,Books,Marketplace,3.0,77
286,Hyderabad,Telangana,2022-07-23,Home & Kitchen,FBA,4.0,162
287,Patna,Bihar,2022-04-05,Beauty,Self-Ship,4.1,439
288,Chennai,Tamil Nadu,2022-10-24,Books,Marketplace,2.9,441
289,Lucknow,Uttar Pradesh,2022-07-27,Home & Kitchen,FBA,4.8,107
290,Agra,Uttar Pradesh,2022-08-24,Electronics,FBA,4.4,309
291,Vadodara,Gujarat,2022-06-03,Books,FBA,3.0,430
292,Vadodara,Gujarat,2022-09-16,Home & Kitchen,Marketplace,2.7,351
293,Hyderabad,Telangana,2022-11-25,Fashion,Self-Ship,4.3,206
294,Lucknow,Uttar Pradesh,2022-08-24,Sports,FBA,4.1,241
295,Mumbai,Maharashtra,2022-12-16,Beauty,Marketplace,3.1,178
296,Ahmedabad,Gujarat,2022-02-26,Sports,FBA,2.8,209
297,Hyderabad,Telangana,2022-06-29,Fashion,Marketplace,2.6,215
298,Ahmedabad,Gujarat,2022-11-05,Sports,Self-Ship,4.3,27
299,Bengaluru,Karnataka,2022-04-26,Fashion,FBA,3.2,149
300,Pune,Maharashtra,2022-12-07,Beauty,Self-Ship,4.6,346
301,Pune,Maharashtra,2022-05-21,Books,Marketplace,4.5,154
302,Delhi,Delhi,2022-10-16,Grocery,Marketplace,4.5,145
303,Bengaluru,Karnataka,2022-02-01,Books,FBA,4.7,262
304,Agra,Uttar Pradesh,2022-01-20,Fashion,FBA,5.0,475
305,Kochi,Kerala,2022-02-23,Electronics,Self-Ship,2.5,154
306,Vadodara,Gujarat,2022-12-30,Books,Marketplace,4.2,52
307,Mumbai,Maharashtra,2022-06-09,Electronics,Marketplace,4.7,92
308,Delhi,Delhi,2022-09-29,Fashion,Marketplace,4.6,223
309,Nagpur,Maharashtra,2022-07-26,Electronics,Marketplace,5.0,392
310,Bengaluru,Karnataka,2022-11-05,Sports,FBA,3.1,83
311,Hyderabad,Telangana,2022-04-13,Grocery,Self-Ship,3.8,390
312,Surat,Gujarat,2022-10-11,Home & Kitchen,Self-Ship,4.7,40
313,Pune,Maharashtra,2022-04-12,Home & Kitchen,FBA,3.6,366
314,Chandigarh,Punjab,2022-12-10,Sports,FBA,3.7,490
315,Vadodara,Gujarat,2022-04-16,Electronics,Marketplace,3.5,50
316,Surat,Gujarat,2022-09-04,Grocery,FBA,4.6,462
317,Bengaluru,Karnataka,2022-09-11,Grocery,FBA,3.0,79
318,Hyderabad,Telangana,2022-12-16,Sports,Self-Ship,4.8,428
319,Mumbai,Maharashtra,2022-06-05,Fashion,Self-Ship,4.2,12
320,Kolkata,West Bengal,2022-10-12,Sports,Marketplace,2.7,57
321,Hyderabad,Telangana,2022-10-01,Fashion,Self-Ship,4.6,163
322,Surat,Gujarat,2022-09-06,Fashion,Marketplace,2.7,485
323,Agra,Uttar Pradesh,2022-08-12,Fashion,Self-Ship,4.6,198
324,Chandigarh,Punjab,2022-05-31,Beauty,Self-Ship,3.0,46
325,Ahmedabad,Gujarat,2022-02-10,Sports,FBA,4.8,265
326,Lucknow,Uttar Pradesh,2022-02-26,Sports,Marketplace,5.0,72
327,Vadodara,Gujarat,2022-03-28,Home & Kitchen,FBA,4.1,70
328,Indore,Madhya Pradesh,2022-01-25,Home & Kitchen,FBA,4.3,52
329,Surat,Gujarat,2022-06-19,Fashion,FBA,3.5,349
330,Nagpur,Maharashtra,2022-04-05,Books,Self-Ship,2.7,290
331,Jaipur,Rajasthan,2022-06-26,Grocery,Self-Ship,2.9,175
332,Kolkata,West Bengal,2022-12-02,Grocery,Self-Ship,4.3,467
333,Bengaluru,Karnataka,2022-03-13,Electronics,Marketplace,3.4,259
334,Bengaluru,Karnataka,2022-08-27,Books,Marketplace,3.9,370
335,Agra,Uttar Pradesh,2022-09-24,Home & Kitchen,Marketplace,4.8,193
336,Nagpur,Maharashtra,2022-11-06,Beauty,Self-Ship,3.8,496
337,Agra,Uttar Pradesh,2022-01-30,Fashion,FBA,3.4,312
338,Surat,Gujarat,2022-08-20,Beauty,Self-Ship,4.8,479
339,Bhopal,Madhya Pradesh,2022-07-07,Fashion,Self-Ship,4.4,161
340,Chennai,Tamil Nadu,2022-04-05,Grocery,Self-Ship,4.1,54
341,Patna,Bihar,2022-07-19,Fashion,Self-Ship,2.8,344
342,Indore,Madhya Pradesh,2022-07-07,Beauty,FBA,3.1,457
343,Mumbai,Maharashtra,2022-01-12,Beauty,Marketplace,2.6,160
344,Jaipur,Rajasthan,2022-04-24,Electronics,FBA,5.0,203
345,Coimbatore,Tamil Nadu,2022-08-04,Books,FBA,3.2,413
346,Coimbatore,Tamil Nadu,2022-02-22,Beauty,FBA,2.5,336
347,Nagpur,Maharashtra,2022-10-05,Beauty,Marketplace,2.6,149
348,Hyderabad,Telangana,2022-03-11,Beauty,Marketplace,2.9,251
349,Nagpur,Maharashtra,2022-04-09,Fashion,Marketplace,4.3,72
350,Indore,Madhya Pradesh,2022-12-04,Grocery,FBA,2.9,83
351,Kochi,Kerala,2022-04-03,Fashion,FBA,3.9,155
352,Mumbai,Maharashtra,2022-05-23,Sports,Self-Ship,3.3,89
353,Coimbatore,Tamil Nadu,2022-07-03,Fashion,Marketplace,4.0,162
354,Delhi,Delhi,2022-05-20,Electronics,FBA,2.6,394
355,Kochi,Kerala,2022-08-20,Home & Kitchen,Marketplace,4.5,126
356,Indore,Madhya Pradesh,2022-02-22,Grocery,Marketplace,2.8,136
357,Indore,Madhya Pradesh,2022-01-16,Books,Self-Ship,3.0,409
358,Patna,Bihar,2022-03-26,Fashion,Marketplace,3.8,77
359,Mumbai,Maharashtra,2022-08-12,Grocery,Self-Ship,2.8,368
360,Indore,Madhya Pradesh,2022-10-12,Beauty,FBA,4.0,247
361,Coimbatore,Tamil Nadu,2022-01-15,Fashion,FBA,4.8,18
362,Bengaluru,Karnataka,2022-06-03,Electronics,FBA,4.1,475
